ARKTIKUL;CODE;NAME;CENA_ROZN;CENA_OPT;URL;OSTATOK;GROUP;OPISANIE;GARANT;IMPORT;EAN;PROIZV;STRANA;MATERIAL;CVET;DLINA;DIAM;IST;UPAK;CENA_IM
5526900000;765;Вибратор анальный JELLY ANAL (розовый);2990;1113;http://kazanova.su/files/foto/5526900000.jpeg;22;Анальные игрушки/Вибраторы;Прекрасный, чтобы потворствовать Вам! Розовый вибратор из геля-желе, очень гибкий. С пульсирующими венами и несколькими скоростями вибрации. Размер: 17.5 см, диаметр 2.5 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ;розовый;17,5 см;2,5 - 3,5 см;1 AA, нет в комплекте;картонная коробка;2730
5579270000;707;Nature Skin  Вибратор Anal Vibe;3590;1390;http://kazanova.su/files/foto/5579270000.jpeg;29;Анальные игрушки/Вибраторы;Для Ваших анальных приключений! Чрезвычайно гибкий вибратор, сделанный из гладкого и мягкого материала - кибер кожи. Его анатомическая форма облегчает анальное проникновение, в то время как выступы на основании дополнительно возбуждают. С колебаниями мультискорости. Размер: 21.5 см, диаметр 2-4.5 см. Идет с образцом талька и смазки. Пожалуйста закажите батареи отдельно: 2 x AA.;;20;4,02E+12;Orion, Германия;Китай;ТПР-Пластик;телесный;21,5 см;2-4,5 см;2 AA, нет в комплекте;картонная коробка;3590
5614010000;8067;Temptation Вибратор анальный розовый, L 16cm, D 2cm;2990;1113;http://kazanova.su/files/foto/5614010000.jpeg;4;Анальные игрушки/Вибраторы;Невероятно соблазнительный анальный вибратор! Его стройный пенис с тугой головкой - идеальный любовник для Вашего ануса. Довертесь ему и наслаждайтесь благодаря великолепному материалу. Прозрачный красный цвет. Длина 16 см, диаметр 2 см. Вибрация плавно регулируется.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;розовый;16 - 18 см;1,5 - 2,5 см;1 AAA, нет в комплекте;блистер;2730
5635010000;т3750;Temptation Вибратор анальный мини голубой, L 13,5cm, D 0,7-2 cm;2990;1113;http://kazanova.su/files/foto/5635010000.jpeg;9;Анальные игрушки/Вибраторы;Маленькое, но невероятно сильное искушение! Мини вибратор с ребристой поверхностью, отлично подходящий как для вагинальных, так и для анальных забав. Размер: длина 13,5 см, диаметр 0,7-2 см. Пожалуйста закажите батареи отдельно: 1 x AAA.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;голубой;13,5 см;0,7 - 2,1 см;1 AAA, нет в комплекте;блистер;2730
5635100000;т5496;Temptation Вибратор анальный мини розовый, L 13,5cm, D 0,7-2 cm;2990;1113;http://kazanova.su/files/foto/5635100000.jpeg;8;Анальные игрушки/Вибраторы;Маленький, но все же сильный вибратор со скользким покрытием из ПВХ в волнующем розовом цвете и чувствительным наконечником. Колебания мультискорости. Размер: 13.5 см длиной, диаметр 0.7-2 см. Пожалуйста закажите батареи отдельно: 1 x AAA!;;20;4,02E+12;Orion, Германия;Китай;ПВХ;розовый;13,5 см;0,7 - 2,1 см;1 AAA, нет в комплекте;блистер;2730
5616490000;т1491;Вибратор анальный 17,5 см сиреневый  Jelly;2990;1113;http://kazanova.su/files/foto/5616490000.jpeg;19;Анальные игрушки/Вибраторы;Прекрасный повод порадовать себя! Фиолетовый вибратор настолько гибкий, что доставит незабываемое удовольствие! С пульсирующими венами и несколькими колебаниями вибрации. Материал с мягким покрытием. Размер: длина 17,5 см, диаметр 2,5 см. Пожалуйста закажите батареи отдельно: 1 x AA.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ;фиолетовый;17,5 см;2,5 - 11 см;1 AA, нет в комплекте;картонная коробка;2730
5523800000;т7609;Вибратор анальный Lover;1900;608;http://kazanova.su/files/foto/5523800000.jpeg;0;Анальные игрушки/Вибраторы;Добраться до анального оргазма, настолько сильного насколько возможно?! Это дело естественно выглядящег вибратора сделанного из мягкого, легко скользящего материала! С колебаниями мультискорости. Размер: 19.5 см длиной, диаметр 1.5-2.5 см. Пожалуйста закажите батареи отдельно: 2 x AA.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;телесный;19,5 см;1,5 - 2,5 см;2 AA, нет в комплекте;картонная коробка;1330
5616300000;т1490;Вибратор Jelly anal blue 17,5 см;2990;1113;http://kazanova.su/files/foto/5616300000.jpeg;26;Анальные игрушки/Вибраторы;"Прекрасный, чтобы потворствовать Вам! Синий вибратор ""желе"", очень гибкий, чтобы найти удовольствие! С пульсирующими венами и несколькими колебаниями вибрации. Очень гибкий материал с мягким покрытием. Размер: 17.5 см, диаметр 2.5 см. Пожалуйста закажите батареи отдельно: 1 x AA.";;20;4,02E+12;Orion, Германия;Китай;ТПЭ;голубой;17,5 см;2,5 - 11 см;1 AA, нет в комплекте;картонная коробка;2730
5774640000;у26159;Power Pops вибратор оранжевый, L-17.5 см, D-1.5 см.;1990;743;http://kazanova.su/files/foto/5774640000.jpeg;0;Анальные игрушки/Вибраторы;Для нежного введения...   Этот малыш, тонкий анальный вибратор в виде пениса, доставит вам вполне реальное удовольствие, а его выраженная головка и сеть прожилок помогут вам ощутить всю скорость вибрации.   Оранжевый.  Общая длина 17,5 см, глубина введения около 15 см, диаметр 1,5 см до 2 см.  Материал: ПВХ.  Батареи (1 х ААА) в комплект не входят, пожалуйста закажите отдельно.;;20;4,02E+12;Orion, Германия;Китай;поливинилхлорид;оранжевый;15 - 18 см;0 - 2 см;1 AAA, нет в комплекте;картонная коробка;1480
5774720000;у26160;Power Pops вибратор розовый, L-17.5 см, D-1.5 см.;2580;949;http://kazanova.su/files/foto/5774720000.jpeg;0;Анальные игрушки/Вибраторы;Для нежного введения...   Этот малыш, тонкий анальный вибратор в виде пениса, доставит вам вполне реальное удовольствие, а его выраженная головка и сеть прожилок помогут вам ощутить всю скорость вибрации.   Розовый.  Общая длина 17,5 см, глубина введения около 15 см, диаметр 1,5 см до 2 см.  Материал: ПВХ.  Батареи (1 х ААА) в комплект не входят, пожалуйста закажите отдельно.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;розовый;17,5 см;1,5-2,2 см;1 AAA, нет в комплекте;картонная коробка;1890
5793430000;ъ02029;Power Pops вибратор фиолетовый L-17 см, D-1.5 см.;1670;848;http://kazanova.su/files/foto/5793430000.jpeg;0;Анальные игрушки/Вибраторы;Практичный анальный вибратор от коллекции PowerPops. Яркий фиолетовый стимулятор длиной 14 см и диаметром 2 см. Покрыт силиконом. Требуется 1 батарейка AAA - нет в комплекте.;;20;4,02E+12;Orion, Германия;Китай;поливинилхлорид;фиолетовый;15 - 18 см;0 - 2 см;1 AAA, нет в комплекте;картонная коробка;
5134820000;т3712;Втулка анальная Crystal Clear Big;2150;836;http://kazanova.su/files/foto/5134820000.jpeg;35;Анальные игрушки/Втулки;Для тех кто любит больше! Длинна 13 см, диаметр 2-6 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;прозрачный;13 - 15 см;2 - 6 см;;блистер;2150
5190490000;у11804;Втулка  Be sexy Mini;1460;536;http://kazanova.su/files/foto/5190490000.jpeg;0;Анальные игрушки/Втулки;Это молочно-матовое сокровище - фантастический друг для НЕГО и ЕЕ! Маленький наконечник позволяет легко и удобно вводить втулку внутрь. Позвольте себе такое наслаждение Длиной 7 см, ? приблизительно 0.5 - 2 см. Материал: TPR.;;20;4,02E+12;Orion, Германия;Китай;термопластическая резина;белый;6 - 10 см;0 - 2 см;;картонная коробка;1100
24664;у13068;FF Анальный стимулятор Cavalier малиновый;2350;1170;http://kazanova.su/files/foto/24664.jpeg;0;Анальные игрушки/Стимуляторы;;1 год;0;4,03E+12;Fun Factory, Германия;Германия;медицинский силикон;малиновый;15 - 18 см;2 - 4 см;;картонная коробка;
24608;у13069;FF Анальный стимулятор Cavalier черный;2350;1170;http://kazanova.su/files/foto/24608.jpeg;0;Анальные игрушки/Стимуляторы;;1 год;0;4,03E+12;Fun Factory, Германия;Германия;медицинский силикон;черный;15 - 18 см;2 - 4 см;;картонная коробка;
24906;у13073;FF Анальный стимулятор Bootie anal toy фиолетовый;2100;1400;http://kazanova.su/files/foto/24906.jpeg;0;Анальные игрушки/Стимуляторы;;1 год;0;4,03E+12;FunFactory, Германия;Германия;медицинский силикон;фиолетовый;17,6 см;2,5 - 11 см;;картонная коробка;2100
24908;у13074;FF Анальный стимулятор Bootie anal toy черный;2100;1400;http://kazanova.su/files/foto/24908.jpeg;0;Анальные игрушки/Стимуляторы;Анальная втулка из 100% силикона. Благодаря анатомической форме, этот стимулятор идеально подходит для внутреннего массажа простаты. Вы можете использовать этот массажер во время мастурбации или предварительных ласк. В комплекте пробник смазки. Длина 7.5 см, максимальный диаметр 2.5 см. Производитель: Fun Factory, (Германия). Материал: Силикон.;1 год;0;4,03E+12;FunFactory, Германия;Германия;медицинский силикон;черный;17,6 см;2,5 - 11 см;;картонная коробка;2100
5226940000;т2257;Набор анальных стимуляторов-3шт Jelly Jammers;2930;1075;http://kazanova.su/files/foto/5226940000.jpeg;0;Анальные игрушки/Стимуляторы;Цветной набор анальных втулок.   Маленький: 10 см, ? 1.5-2.5 см. Средний: 12 см, ? 2.5-3.5 см.;;20;4,89E+12;Orion, Германия;Китай;ПВХ;;10 - 15,5 см;1,5 - 4,5 см;;картонная коробка;2630
5694450000;у12051;Втулка с вибрацией SILVER PLUG;2520;926;http://kazanova.su/files/foto/5694450000.jpeg;14;Анальные игрушки/Втулки;Откройте для себя мир анального удовольствия! Вибро втулка с эластичным наконечником легко проникнет в анус. Вибрация включается простым нажатием кнопки, имеется удобная основа, а сам мини вибратор можно при необходимости убрать. Размеры: 15 см длиной, диаметр 1-2.5 см. Материал: ТПР. Пожалуйста закажите батареи отдельно: 1 x AAA.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ;коричневый;15 - 16 см;1-2,5 см;;картонная коробка;2270
5165380000;т1465;Втулка анальная Ocean deep;1170;430;http://kazanova.su/files/foto/5165380000.jpeg;17;Анальные игрушки/Втулки;Широкая анальная втулка. Размер: 13.5 см, ? 2.5-5.5 см.;;20;4,02E+12;Orion, Германия;Китай;поливинилхлорид;зеленый;13 - 15 см;4 - 6 см;;блистер;999
5541380000;1000;Вибростимулятор анальный с грушей Fanny hill's;3180;1169;http://kazanova.su/files/foto/5541380000.jpeg;4;Анальные игрушки/Втулки;Вибрирующий анальный стимулятор с грушей для накачивания воздуха. Длина 12 см. диаметр регулируется по желанию.;;20;4,89E+12;Orion, Германия;Китай;латекс;черный;12,5 см;2,5 - 11 см;2 AA, нет в комплекте;картонная коробка;2860
5185220000;т9573;Втулка анальная;650;239;http://kazanova.su/files/foto/5185220000.jpeg;0;Анальные игрушки/Втулки;Черный анальный пальчик 5 cm, ? 0.5 cm, 1.5 cm Материеал: ТРЕ;;20;4,02E+12;Orion, Германия;Китай;ТПЭ-Пластик;серый;52 см;0,5 - 1,5 см;;блистер;470
5682600000;т9581;Втулка с вибрацией черная 9,5 см Anal Drops;3120;1147;http://kazanova.su/files/foto/5682600000.jpeg;0;Анальные игрушки/Втулки;Черная анальная втулка с вибрацией 9.5 cm, ? 2-4 cm. Материал: ТРЕ;;20;4,02E+12;Orion, Германия;Китай;ТПЭ-Пластик;черный;9,5-12,5 см;2 - 4 см;2 AA, нет в комплекте;блистер;2290
5683680000;т9582;Вибратор анальный Соблазнитель;2160;795;http://kazanova.su/files/foto/5683680000.jpeg;12;Анальные игрушки/Втулки;Вибратор для анальных и вагинальных любовных игр. Настраиваемый уровень вибрации. Материал: TPE. Батареи включены. Длина 11 см, ? 1.5 крылья 3.2 см.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ-Пластик;фиолетовый;11 см;1,5 - 3,2 см;в комплекте;картонная коробка;1950
5001190000;у13276;Втулка анальная  Plug & Play;650;239;http://kazanova.su/files/foto/5001190000.jpeg;0;Анальные игрушки/Втулки;Мини анальная втулка с кольцом для пальца из кибер кожи и специальной резьбой по всей длине для более приятного введения. Благодаря специальному кольцу прекрасно держится на пальце когда вы ласкаете свой анус или Вашего партнера во время предварительных ласк. Цвет: фиолетовый. Размер: 7.5 см длина, диаметр 1-2 см.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ;фиолетовый;7,5 см;1 - 2 см;;блистер;470
5011310000;у13515;Smile  Анальная втулка Hopper фиолетовая;2260;832;http://kazanova.su/files/foto/5011310000.jpeg;12;Анальные игрушки/Втулки;Анальная втулка анатомической формы с закругленным кончиком для безопасного ввода, волнистым основанием, на крепкой присоске. Длина 10 см, диаметр 1.7-3 см. Материал: 100% силикон.   Коллекция: Smile.;;20;4,02E+12;Orion, Германия;Китай;силикон;фиолетовый;12,5 см;2-4 см;;картонная коробка;1990
5011400000;у13452;Smile  Анальная втулка Hopper черная;2260;832;http://kazanova.su/files/foto/5011400000.jpeg;18;Анальные игрушки/Втулки;Анальная втулка анатомической формы с закругленным кончиком для безопасного ввода, волнистым основанием, на крепкой присоске. Длина 10 см, диаметр 1.7-3 см. Материал: 100% силикон.   Коллекция: Smile.;;20;4,02E+12;Orion, Германия;Китай;силикон;черный;12,5 см;2-4 см;;картонная коробка;1990
5011660000;у13453;Smile  Анальная втулка Hopper голубая;1650;608;http://kazanova.su/files/foto/5011660000.jpeg;13;Анальные игрушки/Втулки;Анальная втулка анатомической формы с закругленным кончиком для безопасного ввода, волнистым основанием, на крепкой присоске.   Длина 10 см, диаметр 1.7-3 см. Материал: 100% силикон.;;20;4,02E+12;Orion, Германия;Китай;силикон;голубой;10 - 13 см;1,7-3 см;;картонная коробка;1490
5206400000;8403;Фаллоимитатор стекло;1870;738;http://kazanova.su/files/foto/5206400000.jpeg;0;Анальные игрушки/Втулки;Для любовных фантазий, Этот фаллоимитатор выполнен в форме женского тела. Длина 21 см., диаметр от 2,5 до 3,5 см.;;20;4,02E+12;Orion, Германия;Китай;АкрилСтекло;прозрачный;21,5 см;2,5 - 3,5 см;;картонная коробка;
5604300000;т1489;Втулка анальная с вибрацией ANAL BLUE;1990;739;http://kazanova.su/files/foto/5604300000.jpeg;0;Анальные игрушки/Втулки;Анальное удовольствие в своих лучших проявлениях! Гладкая и эластичная прозрачная синяя втулка, с клиновидным наконечником для легкого проникновения. Прекрасная игрушка для анальных новичков и экспертов. С регулируемыми колебаниями вибрации без раздражающих кабелей. Батарейки включены. Размер: длина 11 см, диаметр 1-3 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ;голубой;11 см;1 - 3 см;в комплекте;блистер;1810
5592290000;872;Вибратор с грушей увеличивающийся;2670;982;http://kazanova.su/files/foto/5592290000.jpeg;0;Анальные игрушки/Прочее;Исключительный черный pleaser! Надувной вибратор сделан из дополнительного скользкого материала. После проникновения через влагалище Вы можете раздуть его с удобной резиновой луковицей до заполнения Вас полностью и включить много колебания скорости. Размер: 13 см, ? приблизительно (надувные) 3.5-4 см. Пожалуйста закажите батареи отдельно: 2 x AA.;;20;4,02E+12;Orion, Германия;Китай;латекс;черный;12,5 см;3 - 4 см;2 AA, нет в комплекте;картонная коробка;1960
5106370000;10660;Втулка анальная  Porox;1100;404;http://kazanova.su/files/foto/5106370000.jpeg;0;Анальные игрушки/Втулки;Для восторженных волн оргазма! Анальная втулка сделана из мягкого и скользкого латекса. Только вставьте и наслаждайтесь заполняющимся удовольствием... Телесного цвета с присоской. Размер: 13 см длина, диаметр приблизительно 1.5-2.5 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;телесный;13 - 15 см;1,5 - 2,5 см;;картонная коробка;800
5156980000;т3717;Втулка анальная Crystal Clear Medium;2150;839;http://kazanova.su/files/foto/5156980000.jpeg;22;Анальные игрушки/Втулки;Среднего размера втулка, расширяющаяся в центре и узкая по краям. Материал - силикон. Длинна 11,5 см, диаметр 2-4 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;прозрачный;11,5 см;2-4 см;;блистер;2150
5214420000;10680;Втулка анальная с эффектом увеличения ANAL EXPERT;4250;1559;http://kazanova.su/files/foto/5214420000.jpeg;0;Анальные игрушки/Втулки;Анальный стимулятор, который Вы сами можите увеличить по своему желанию.  Тонкий и гладкий, он доставит Вам невероятные удовольствия. Теперь Вы можете увеличивать или уменьшать его  с помощью удобного насоса! Накаченный анальный стимулятор, делает влагалище девственно тесным!   Длина примерно 13 см, диаметр 1,5-3,5 см.;;20;4,02E+12;Orion, Германия;Китай;латекс;черный;10 - 13 см;2 - 9 см;;картонная коробка;3110
5234700000;т1473;Втулка анальная Realistic;1650;608;http://kazanova.su/files/foto/5234700000.jpeg;16;Анальные игрушки/Втулки;"Маленький и все же внушительный ""дружок"" доставит Вам удовольствие в самом пикантном месте. Мягкий и ласковый, но одновременно настойчивый и упругий. От такого нельзя отказаться! Сделанный из гибкого каучука имеется присоска. Размер: 11.5 см длина, диаметр 3 см. Можно использовать и вагинально! Производство Германия.";;20;4,02E+12;Orion, Германия;Китай;ПВХ;телесный;11,5 см;3 - 3,5 см;;блистер;1490
5113230000;10666;Втулка анальная Anal master;1910;701;http://kazanova.su/files/foto/5113230000.jpeg;0;Анальные игрушки/Втулки;Для восторженных оргазмов! Анальная втулка сделанная из мягкого и скользкого материала. ПОМНИТЕ в то время как втулка находится в анусе, размер влагалища сокращается, делая его более плотным и трудно проходимым для пениса. Телесного цвета с присоской. Размер: длина 14 см, диаметр приблизительно 2.5-4.3 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;телесный;14 см;2,5 - 4,3 см;;картонная коробка;1400
5163170000;т5356;Втулка анальная SAPHIR;1140;421;http://kazanova.su/files/foto/5163170000.jpeg;0;Анальные игрушки/Втулки;Анальная втулка сапфир, из твердого силикона. Длина 10 см., Диаметр 0,7 -3 см.;;20;4,02E+12;Orion, Германия;Китай;ТПР;синий;10 - 13 см;0,7-3 см;;блистер;840
5238950000;т1479;Втулка Analfinger red;650;239;http://kazanova.su/files/foto/5238950000.jpeg;0;Анальные игрушки/Втулки;Тонкая, мягкая силиконовая анальная втулка с кольцом для пальца. Благодаря специальному кольцу прекрасно держится на пальце когда вы ласкаете свой анус или Вашего партнера во время предварительных ласк. Цвет: красный. Размер: 5 см длина, диаметр 0.5-1.5 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ТПЭ-Пластик;красный;5,2 см;0,5 - 1,5 см;;блистер;470
5216550000;т5490;Груша анальная Simplyanal;1500;552;http://kazanova.su/files/foto/5216550000.jpeg;9;Анальные игрушки/Прочее;Совершенное  наслаждение для знатоков анального секса!Легкое проникновение в анус.С помощью удобного насоса с регулятором давления заполняется воздухом стимулятор по Вашему желанию. Стимулятор можно использовать как анально, так и вагинально.;;20;4,89E+12;Orion, Германия;Китай;латекс;телесный;37 см;1 - 3 см;;картонная коробка;1350
5265090000;т5503;Интим душ;2930;1075;http://kazanova.su/files/foto/5265090000.jpeg;0;Анальные игрушки/Прочее;Душ для Вашей интимной гигиены до и после секса. Красная груша с двумя приложениями: насадка для анального использования и для влагалища. Только высосите жидкость в шар насоса, и выбрал между анальными или влагалищными приложениями шар насоса Размер груши 10 см. Анальное приложение: длина 8 см, диаметр 0.5-1 см. Влагалищное приложение: длина 14 см, диаметр 1.5-2 см.;;20;4,02E+12;Orion, Германия;Китай;ПП + ПВХ;красный;8 - 14 см;0,5 - 2,5 см;;картонная коробка;2630
5242200000;т1484;Втулка анальная ANAL GO! medium L-15 см, D- 2-4 см;1580;616;http://kazanova.su/files/foto/5242200000.jpeg;0;Анальные игрушки/Втулки;Средняя анальная втулка со стимулирующими углублениями, на присоске. Материал: розовый гель. Размер: 15 см длина, диаметр 2-4 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;розовый;15 - 16 см;2 - 4 см;;блистер;1390
5134740000;т3711;Втулка анальная CRYSTAL CLEAR SMALL PLUG;1690;660;http://kazanova.su/files/foto/5134740000.jpeg;41;Анальные игрушки/Втулки;Анальная втулка сделанная из легкого, приятного, прозрачного материала, с присоской. Размер: 10 см, ? 2-3 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;прозрачный;10 - 13 см;1 - 3 см;;блистер;1690
5238790000;т5663;Втулка анальная POROX;1320;422;http://kazanova.su/files/foto/5238790000.jpeg;0;Анальные игрушки/Втулки;Для восторженных волн оргазма! Анальная втулка сделана из мягкого и скользкого материала. Только вставьте и наслаждайтесь заполняющимся удовольствием. Дополнительный эффект: в то время как в Вашем анусе находится втулка, влагалище превращается в девственно трудный вход и вы оба восхититесь более интенсивным оргазмом. Черная с присоской. Размер: 14 см длина, диаметр 1,5-4 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;черный;14 см;1,5 - 4 см;;картонная коробка;924
5607150000;т3740;Втулка анальная COSMOS;1620;594;http://kazanova.su/files/foto/5607150000.jpeg;0;Анальные игрушки/Втулки;Анальная втулка, сделанная из скользкого синего материала геля с сильной присоской, чтобы закрепить ее на любой гладкой поверхности. Ее сложная форма и маленький, увенчанный бусинкой, наконечник предлагают большие сенсации удовольствия. С очень тихими колебаниями мультискорости. Размер: 18 см длиной, диаметр 1.5-4 см. Пожалуйста закажите батареи отдельно: 2 x AA.;;20;4,02E+12;Orion, Германия;Китай;поливинилхлорид;синий;15 - 18 см;2 - 4 см;2 AA, нет в комплекте;картонная коробка;1450
5163250000;т5779;Втулка анальная Amethyst;1140;421;http://kazanova.su/files/foto/5163250000.jpeg;0;Анальные игрушки/Втулки;Осуществите свои самые дикие анальные фантазии! Прекрасный размер и удобная широкая основа делают эту втулку прекрасной и безопасной анальной игрушкой для новичков, отвечая всем требованиям. Сделана из фиолетового, твердого скользкого материала. Размер: 10 см длина, диаметр 0.7-3 см.;;20;4,02E+12;Orion, Германия;Китай;ТПР;фиолетовый;10 - 13 см;0,7-3 см;;блистер;840
5162520000;т1457;Втулка анальная Key to your butt;999;371;http://kazanova.su/files/foto/5162520000.jpeg;0;Анальные игрушки/Втулки;Искусство анальных удовольствий! Невероятный брелок для ключей к вашей попе. Сделанный из красного каучука с серебряным кольцо. Размер: 10.5 см, диаметр 1-2 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ, АБС-Пластик;красный;10,5 см;1 - 2 см;;картонная коробка;740
